initial_utterance,tagged_utterance,tag
"Я не хочу, чтобы мне так говорили.","Ладно, извини.",apology
"Ни денег, ни желания.",Наташ. Прости меня.,apology
"А тебе кто-то платит, чтоб ты гуляла с Багдасаром?",Извини,apology
"Всё, проиграли.",Извините,apology
Ты чё творишь!?,"Простите, я не хотел.",apology
"Ирина, это не шапка, а панама.","Извините, не знала правильного названия",apology
Эк у вас фантазия разыгралась...,"Анатолий, извините )) я не думала, что так получится ))",apology
"Андрей, она права, отчасти","Лена, отчасти, извините мо настроение",apology
"Сергей, спасибо, мне уже всё разъяснили до вас, я с первого раза понимаю","Марина, Извините, я не видел))",apology
"Елизавета, это, видимо, такой своеобразный комплимент маме","Альбина, ааа, не поняла, извините",apology
"Юлия-Руссарт, это не я вообще, где ""нам с мужем по 15"", мне только 29","Алёна, я уже поняла в чем ошиблась,извините!",apology
"Чайка, это Дед.... папа на фото со мной","А - а-а-а, извините..",apology
"Мой папа в молодости и сейчас (ему 87 лет)Когда я родилась, ему было 60 лет :)","Извините, я не сдержался.",apology
Вы. Олигарх?,"Каспар, извините , ниже не читал...",apology
Мой брат 19 лет Ленинград,"Алла, извините..отредактировал!",apology
Что не так?),"Макс, все так, извините) я подумала , вы возмущаетесь",apology
"Елена, я чем то оскорбила автора или что ????","Татьяна, извините если резко, не хотела, отвечала про расставания.",apology
"Светлана, ну просто,ну очень страшно стареть..","Простите, я не хотела вас обидеть..",apology
"Ольга, а ну тем более) просто точно не 2000-2001)))","Простите, я все таки ошиблась.",apology
"Ольга, а ну тем более) просто точно не 2000-2001)))","Простите за мою ошибку, всё перепутала.",apology
"Елена, автору, тоесть мне слегка 30-ть а родителям на фото папе-25, маме-22.","Яна, ой, простите...",apology
"Я сперва по форме, подумал, что прокурорские...","Фёдор, а я про нацистов, простите",apology
"Ирина, он младше вас, намного","Teenage, а... простите, я посчитала не так)",apology
"Светлана, так это же свадьба","Александр, прости,на ходу печатала",apology
"Ирина, я не это имела ввиду: не обязательно муж соседки понимает такие вещи, ваш же не понимал.","Анна, простите. Не так вас поняла",apology
"Nataly, истеричек, которые даже на мелочи заводятся в студию.","Alex, Простите, ошибся",apology
"Михаил, так в этом и дело","Простите, неправильно воспроизвела вопрос",apology
"Тимофей, ты опять слово неправильно написал, да что ж такое.","Анастасия, прости пожалуйста ошибся на 1 букву",apology
"Анастасия, ты же не знаешь слово сарказм","Анастасия, короче тебе всё виднее, поэтому прости пожалуйста",apology
"Дмитрий, очень жаль ну ничего , подрастешь - может и изменишь своё мнение","Алла, извините",apology
"Нина, извините, но я не пойму, почему под моими фото вы размещаете свою фотографию.","Светлана, простите, пожалуйста",apology
"Елена, в 2016 году не найдешь фото веселой женщины,если только она не кокотка.","Елена, я написала просто комментарий, Извините",apology
"Света, пусть и в Питере, цены примерно везде одинаковые.","Света, извините, не сразу увидела ответ.",apology
"Какие девушки все шикарные,кстати у вас классная фамилия Скоробогатова)","Aziza, извините, я думал вы по приколу поставили",apology
"Rizvan, вы не поняли, персонаж Гранд Адмирал Траун.","Богдан, а понял сорри братец",apology
"Кирилл, кавычки там посто так, да С сайта мосгортранса цитата","Кирилл, сорри тогда)",apology
"Обыкновенный, ты чего тупишь? 30 мая в разные года может быть....","Иван, сорри ,неправильно прочитал)",apology
"Алексей, ты вот сейчас меня расстроил, у меня теперь депрессия, хз чем это кончится.","Антон, сорян, бро",apology
"Николай, да я иронизирую. Естественно, ничего плохого я в этом не вижу (хотя против вейпа)","Илья, аааааа, раз так, то сорян, если задел",apology
нашёл друзей :),"это мои,сорян",apology
"Vladimir,буду знать. Спасибо за информацию","Садир, сорян счас удалю комент .без обид",apology
"Александр, Поэтому тяжело писать","Бард, тогда сорян",apology
"окей... думается мне, что вы не в то русло уже заходите, но ладно","Екатерина, плыву по течению) сорян",apology
"Елена, 90-е? Доброе время? однако.","Елена, сорян",apology
"Елизавета, авакомпания? Повезло вам не лететь злополучными рейсами.","Елизавета, сорян, подумал, что самолётик на одежде.",apology
"Александр, а вы на что обижены?","Антон, а, сори браток , не так понял твои слова",apology
"Сахиб, она спала","Кирилл, ну ладно. Тогда извини",apology
"Надежда, надя блин",Извеняюсь не удержался),apology
"Дагир, ой всё утомил","Ксения, так хотела грязи? Извини! Обломал",apology
"Санек, не злитесь) вы просто не правы","Као, Я в аниме не разбираюсь извините",apology
Я просто давно не езжу на общественном транспорте. Спасибо.,"Юлия, ввела вас в заблуждение. Извиняюсь.",apology
"Pashka, просто смотря как ситуацию приподнести, тут правы все","Даня, зачастую кидают видео и непонятно что и как по факту) так что вы меня извините если что не так",apology
Смотреть с осторожностью. Бунт французских виноделов,"Извините, но вы живёте в россии",apology
Лучше.,ИзвинитЯ. Там уже больше сотни было... Я не удержался,apology
Достали,"Извините, что ли?)",apology
"День подходит к концу, работяги, надеюсь, он прошёл продуктивно","Прости, не понимаю что написано",apology
Всей деревне будет грустно,"Простите, я вечером закончу",apology
Вопрос насущный,Ничего в голову не приходит. Прости парень.,apology
Вакансии Android & iOS,"Простите, можно я пройду форточку открою",apology
мда,"Ах, да простите, не узнал дорогу на Куршавель.",apology
Обиженки.,"Ты меня прости, но выглядит все так как будто вы излишне болезненно воспринимаете любую критику/негатив в адрес города.",apology
Обиженки.,"Прости, я и правда теперь припоминаю.",apology
Pixie & Brutus #93 - Dreams (20.05.2021),"Да, значит, это у меня глюки, сорри, что докопался.",apology
Мэтью Перри умер,"Сорри, у меня сложности с передачей мысли",apology
Костюм на Хэллоуин,"Сорри, но это смешно",apology
"Привет, друзья из Америке","Сори, я думал 1300 это я знаю какие фигуры как ходят.",apology
"Красота та какая, лепота!","Хм, тогда ок. Сори, быканул)",apology
КРАСНАЯ ПЛЕСЕНЬ - ВЕТЕР,"не знал, сорян. У нас все по-другому",apology
Какая достойная смерть! Мышь-полевка залезла на носовую часть коптера-камикадзе и взорвалась.,"Понял. Сорян, что высунулся.)",apology
Довольно точное наблюдение.,"А, сорян, не смотрел, что именно за диски на фотке, думал, что обычные, легкосплавные под стандартную резину.",apology
"В США полицейский застрелил мужчину, который отсидел в тюрьме 16 лет по ложному обвинению",Но раз вы такой не квалифицированный то сорян.,apology
Тыковки.,"сорян, чувак, и без постороннего мнения комплексов хватает.",apology
С каждым просмотром смешнее,"сорян, я даже читать не буду (",apology
Помогите найти игру по описанию,"Других не знаю, сорян",apology
Получил бан 3 дня за фразу из Morrowind,Сорян за оффтоп.,apology
"Ничего не понятно, но очень интересно","Ой, сорянчик, лигу не заметил",apology
"Светлана, кто фотографировал?","Ирина, извините, не помню даже.",apology
Отец в молодости,Вы извините автор поста!!!Режет ухо-отец!!,apology
"Анастасия, да это понятно))) но все равно дороговато для телека","Юлия, извините, что душню)",apology
Я своего папочку потеряла в марте этого года. Плачу каждый день..,"Алина, извини.",apology
"Алла, оч приятные, молодые","Алла, извините ) не поняла ))",apology
"Наталия, там и глаза вроде как карие ,а в жизни синие )","Владислава, извините, но вы отрицаете очевидное.",apology
"Граф, ахахаах, точно","Вероника, Извините влезаю в вашу переписку....",apology
"Anastasia, можете посмотреть стрипы pleaser, а китайские лучше не брать понятно почему, устойчивости не будет","Арина, извините, я не разбираюсь в подобном",apology
"Екатерина, читать не умеете. Понятно. Нет так нет.","Полина, извините, я нажать не на то имя.",apology
"Галина, напишите в гугле или в яндаксе босиком в метро там таких будет много","Ирина, не знала.. извините",apology
"Брат, ты к слову это говоришь человеку, который уже пол года качает зад)","Kuromi, аа, извини, респект",apology
"Рамзес, хпхахахахха даже даже","Рамзес, парень твой оскорбленый извини",apology
"Екатерина, так выражаться нужно точнее, а не говорить абы как, и пускай люди гадают.","Иван, ну извини, я просто всегда почти всё понимаю, думала другие тоже)",apology
"Дмитрий, нет, не так.","Ярослав, понятно, тогда извините",apology
"Memento, парень если гуляет со многими девушками,он просто общительный,тебе повезло сорвала джекпот","Memento, извини,я думал ты пацан когда отвечал тебе",apology
Не ожидала от Вас хамства,"Нелля, извините",apology
"Роман, а ты не завидуй)","Olia, Извини не буду..",apology
"Артём, следи за языком, а то потеряешь!","Ibrahim, извини, сестра",apology
"Виктор, а я Вас задела?","Виктор, извините, не хотела",apology
"Виктор, точно Вас задела","Виктор, ладно, ещё раз извините. Хорошего дня",apology
"Лерик, у меня сын ваш ровесник (скорее всего)","Александр, извините, не знала))",apology
"Макар, вы сами говорите, что эти господа освободят место, так почему же вы считаете, что другие не освободят? Сами себе противоречите","Elina, извини, не написал, что это была ирония.",apology
Это кто вообще? Что за бархатные тяги?,Это я извините,apology
"Витя, слышишь? За углом подышишь",Извини))),apology
"Михаил, я окончил МГУ им Ломоносова 7 лет назад мальчик","Димас, ой, извини.",apology
"Ольга, удалите этот скрин пожалуйста","Ирина, извини за мои слова ( я немножко погорячился",apology
"Мария, что это значит ? В каком смысле, чего ?","Фархад, извините.. Не умею объяснять..",apology
